"","SignedMonth","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-07-01,"Large","Army","YOUNG",0.423826951689303,NA
"2",2007-08-01,"Large","Army","YOUNG",1.00472139685711,NA
"3",2007-09-01,"Large","Army","YOUNG",3.54416325539342,1.65757053464661
"4",2007-10-01,"Large","Army","YOUNG",0.801362305498915,1.78341565258315
"5",2007-11-01,"Large","Army","YOUNG",1.67057850652928,2.00536802247387
"6",2007-12-01,"Large","Army","YOUNG",1.46620590408894,1.31271557203905
"7",2008-01-01,"Large","Army","YOUNG",1.52739767893709,1.5547273631851
"8",2008-02-01,"Large","Army","YOUNG",1.88998690854664,1.62786349719089
"9",2008-03-01,"Large","Army","YOUNG",2.237698239859,1.88502760911424
"10",2008-04-01,"Large","Army","YOUNG",2.4164944262256,2.18139319154375
"11",2008-05-01,"Large","Army","YOUNG",3.93029008073753,2.86149424894071
"12",2008-06-01,"Large","Army","YOUNG",1.59951369085683,2.64876606593999
"13",2008-07-01,"Large","Army","YOUNG",2.5472086945987,2.69233748873102
"14",2008-08-01,"Large","Army","YOUNG",1.92364568922993,2.02345602489516
"15",2008-09-01,"Large","Army","YOUNG",9.95967733744035,4.81017724042299
"16",2008-10-01,"Large","Army","YOUNG",3.11651219691492,4.9999450745284
"17",2008-11-01,"Large","Army","YOUNG",1.78301031334704,4.95306661590077
"18",2008-12-01,"Large","Army","YOUNG",2.70884349802988,2.53612200276395
"19",2009-01-01,"Large","Army","YOUNG",3.2906275298333,2.59416044707007
"20",2009-02-01,"Large","Army","YOUNG",2.54167315426499,2.84704806070939
"21",2009-03-01,"Large","Army","YOUNG",3.31913198284261,3.05047755564697
"22",2009-04-01,"Large","Army","YOUNG",2.31375614640615,2.72485376117125
"23",2009-05-01,"Large","Army","YOUNG",1.37377551789348,2.33555454904741
"24",2009-06-01,"Large","Army","YOUNG",1.67267032094609,1.78673399508191
"25",2009-07-01,"Large","Army","YOUNG",1.4730741834488,1.50650667409612
"26",2009-08-01,"Large","Army","YOUNG",1.18407425283611,1.443272919077
"27",2009-09-01,"Large","Army","YOUNG",2.00428948767049,1.55381264131847
"28",2009-10-01,"Large","Army","YOUNG",0.547302310900727,1.24522201713578
"29",2009-11-01,"Large","Army","YOUNG",0.651214379738982,1.06760205943673
