"","SignedMonth","ProductOrServiceArea","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-07-01,"Fuel","Army","YOUNG",0.00136038296105062,NA
"2",2007-08-01,"Fuel","Army","YOUNG",0.00296984716578741,NA
"3",2007-09-01,"Fuel","Army","YOUNG",0.00219525090358065,0.00217516034347289
"4",2007-10-01,"Fuel","Army","YOUNG",0.00217337517353579,0.00244615774763462
"5",2007-11-01,"Fuel","Army","YOUNG",0.00336554347071584,0.00257805651594409
"6",2007-12-01,"Fuel","Army","YOUNG",0.0030792170824295,0.00287271190889371
"7",2008-01-01,"Fuel","Army","YOUNG",0.00272662677874187,0.00305712911062907
"8",2008-02-01,"Fuel","Army","YOUNG",0.00417744088937093,0.0033277615835141
"9",2008-03-01,"Fuel","Army","YOUNG",0.00322683069414317,0.00337696612075199
"10",2008-04-01,"Fuel","Army","YOUNG",0.00510403651843818,0.00416943603398409
"11",2008-05-01,"Fuel","Army","YOUNG",0.00606542972885032,0.00479876564714389
"12",2008-06-01,"Fuel","Army","YOUNG",0.00651721389370933,0.00589556004699928
"13",2008-07-01,"Fuel","Army","YOUNG",0.00266033677874187,0.00508099346710051
"14",2008-08-01,"Fuel","Army","YOUNG",0.00303566031453362,0.00407107032899494
"15",2008-09-01,"Fuel","Army","YOUNG",0.00742534302603037,0.00437378003976862
"16",2008-10-01,"Fuel","Army","YOUNG",0.0162099090062784,0.00889030411561413
"17",2008-11-01,"Fuel","Army","YOUNG",0.0182470546871617,0.0139607689064902
"18",2008-12-01,"Fuel","Army","YOUNG",0.0150310078371942,0.0164959905102114
"19",2009-01-01,"Fuel","Army","YOUNG",0.00601191846720069,0.0130966603305189
"20",2009-02-01,"Fuel","Army","YOUNG",0.0256218809915566,0.0155549357653172
"21",2009-03-01,"Fuel","Army","YOUNG",0.0333527074583243,0.0216621689723605
"22",2009-04-01,"Fuel","Army","YOUNG",0.019688473186837,0.0262210205455726
"23",2009-05-01,"Fuel","Army","YOUNG",-0.00295510875730678,0.0166953572959515
"24",2009-06-01,"Fuel","Army","YOUNG",7.51671573933752e-05,0.00560284386230786
"25",2009-07-01,"Fuel","Army","YOUNG",-0.000144942054557263,-0.00100829455149022
"26",2009-08-01,"Fuel","Army","YOUNG",3.31527386880277e-06,-2.21532077650285e-05
"27",2009-09-01,"Fuel","Army","YOUNG",-0.000258895735007577,-0.000133507505232013
"28",2009-10-01,"Fuel","Army","YOUNG",-1.73755241762944e-05,-9.09853284383563e-05
"29",2009-11-01,"Fuel","Army","YOUNG",6.36724433033804e-07,-9.18781782502793e-05
"30",2009-12-01,"Fuel","Army","YOUNG",-7.93158001711596e-05,-3.20181999714734e-05
"31",2010-01-01,"Fuel","Army","YOUNG",-4.16417415489944e-06,-2.76144166310084e-05
"32",2010-02-01,"Fuel","Army","YOUNG",-0.000275385216089003,-0.000119621730138354
"33",2010-03-01,"Fuel","Army","YOUNG",-5.43132220795893e-07,-9.33641741548994e-05
"34",2010-04-01,"Fuel","Army","YOUNG",0.000210178968763372,-2.1916459848809e-05
"35",2010-05-01,"Fuel","Army","YOUNG",-1.85028776208815e-05,6.37109863072315e-05
"36",2010-06-01,"Fuel","Army","YOUNG",-4.55213949507916e-06,6.23746505491371e-05
"37",2010-07-01,"Fuel","Army","YOUNG",-2.91275994865212e-05,-1.73942055341606e-05
"38",2010-08-01,"Fuel","Army","YOUNG",-3.03883290543432e-05,-2.13560226786478e-05
