"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ProductOrServiceArea","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Fuel","Army","YOUNG",0.00217337517353579,NA
"2",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Fuel","Army","YOUNG",0.00336554347071584,NA
"3",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Fuel","Army","YOUNG",0.0030792170824295,0.00287271190889371
"4",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Fuel","Army","YOUNG",0.00272662677874187,0.00305712911062907
"5",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Fuel","Army","YOUNG",0.00417744088937093,0.0033277615835141
"6",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Fuel","Army","YOUNG",0.00322683069414317,0.00337696612075199
"7",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Fuel","Army","YOUNG",0.00510403651843818,0.00416943603398409
"8",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Fuel","Army","YOUNG",0.00606542972885032,0.00479876564714389
"9",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Fuel","Army","YOUNG",0.00651721389370933,0.00589556004699928
"10",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Fuel","Army","YOUNG",0.00266033677874187,0.00508099346710051
"11",2008-08-01,2008-09-30,"Q4",2008-09-30,1.83561643835616,"Fuel","Army","YOUNG",0.00303566031453362,0.00407107032899494
"12",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Fuel","Army","YOUNG",0.00742534302603037,0.00437378003976862
"13",2008-10-01,2008-12-31,"Q1",2009-04-26,2.0027397260274,"Fuel","Army","YOUNG",0.0162099090062784,0.00889030411561413
"14",2008-11-01,2008-12-31,"Q1",2009-04-26,2.08767123287671,"Fuel","Army","YOUNG",0.0182470546871617,0.0139607689064902
"15",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"Fuel","Army","YOUNG",0.0150310078371942,0.0164959905102114
"16",2009-01-01,2009-03-31,"Q2",2009-04-26,2.25479452054795,"Fuel","Army","YOUNG",0.00601191846720069,0.0130966603305189
"17",2009-02-01,2009-03-31,"Q2",2009-04-26,2.33972602739726,"Fuel","Army","YOUNG",0.0256218809915566,0.0155549357653172
"18",2009-03-01,2009-03-31,"Q2",2009-04-26,2.41643835616438,"Fuel","Army","YOUNG",0.0333527074583243,0.0216621689723605
"19",2009-04-01,2009-06-30,"Q3",2009-04-26,2.5013698630137,"Fuel","Army","YOUNG",0.019688473186837,0.0262210205455726
"20",2009-05-01,2009-06-30,"Q3",2009-09-30,2.58356164383562,"Fuel","Army","YOUNG",-0.00295510875730678,0.0166953572959515
"21",2009-06-01,2009-06-30,"Q3",2009-09-30,2.66849315068493,"Fuel","Army","YOUNG",7.51671573933752e-05,0.00560284386230786
"22",2009-07-01,2009-09-30,"Q4",2009-09-30,2.75068493150685,"Fuel","Army","YOUNG",-0.000144942054557263,-0.00100829455149022
"23",2009-08-01,2009-09-30,"Q4",2009-09-30,2.83561643835616,"Fuel","Army","YOUNG",3.31527386880277e-06,-2.21532077650285e-05
"24",2009-09-01,2009-09-30,"Q4",2009-09-30,2.92054794520548,"Fuel","Army","YOUNG",-0.000258895735007577,-0.000133507505232013
"25",2009-04-01,2009-06-30,"Q3",2009-09-30,0.498630136986301,"Fuel","Army","CARTER",0.010081083329725,NA
"26",2009-05-01,2009-06-30,"Q3",2009-09-30,0.580821917808219,"Fuel","Army","CARTER",0.00771082615284694,NA
"27",2009-06-01,2009-06-30,"Q3",2009-09-30,0.665753424657534,"Fuel","Army","CARTER",0.00543577425849751,0.00774256124702316
"28",2009-07-01,2009-09-30,"Q4",2009-09-30,0.747945205479452,"Fuel","Army","CARTER",0.0284328474669842,0.0138598159594429
"29",2009-08-01,2009-09-30,"Q4",2009-09-30,0.832876712328767,"Fuel","Army","CARTER",0.035442786447283,0.0231038027242549
"30",2009-09-01,2009-09-30,"Q4",2009-09-30,0.917808219178082,"Fuel","Army","CARTER",0.0313261744100455,0.0317339361081042
"31",2009-10-01,2009-12-31,"Q1",2010-09-30,1,"Fuel","Army","CARTER",0.0233509479139923,0.0300399695904402
"32",2009-11-01,2009-12-31,"Q1",2010-09-30,1.08493150684932,"Fuel","Army","CARTER",0.0100438860611896,0.0215736694617424
