"","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014"
"1",2007-09-30,0.747945205479452,"Aircraft and Drones","Army","YOUNG",0.0478414931305421
"2",2007-09-30,0.747945205479452,"Aircraft and Drones","Navy","YOUNG",0.261098355258727
"3",2007-09-30,0.747945205479452,"Aircraft and Drones","Air Force","YOUNG",0.831315657189359
"4",2007-09-30,0.747945205479452,"Aircraft and Drones","DLA","YOUNG",0.0686052758783253
"5",2007-09-30,0.747945205479452,"Aircraft and Drones","Additional
DoD
Components","YOUNG",0.00703870827253339
"6",2007-09-30,0.747945205479452,"Electronics and Communications","Army","YOUNG",0.645946686126389
"7",2007-09-30,0.747945205479452,"Electronics and Communications","Navy","YOUNG",0.297437303670446
"8",2007-09-30,0.747945205479452,"Electronics and Communications","Air Force","YOUNG",0.174358417588955
"9",2007-09-30,0.747945205479452,"Electronics and Communications","DLA","YOUNG",0.0651683941295319
"10",2007-09-30,0.747945205479452,"Electronics and Communications","MDA","YOUNG",1.59490402963296e-05
"11",2007-09-30,0.747945205479452,"Electronics and Communications","Additional
DoD
Components","YOUNG",0.0909901645414749
"12",2007-09-30,0.747945205479452,"Facilities and Construction","Army","YOUNG",0.785979707756202
"13",2007-09-30,0.747945205479452,"Facilities and Construction","Navy","YOUNG",0.179541652576047
"14",2007-09-30,0.747945205479452,"Facilities and Construction","Air Force","YOUNG",0.155185391121338
"15",2007-09-30,0.747945205479452,"Facilities and Construction","DLA","YOUNG",0.0465807983612078
"16",2007-09-30,0.747945205479452,"Facilities and Construction","MDA","YOUNG",0.000210996744864744
"17",2007-09-30,0.747945205479452,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00339048265798631
"18",2007-09-30,0.747945205479452,"Land Vehicles","Army","YOUNG",0.596045856156695
"19",2007-09-30,0.747945205479452,"Land Vehicles","Navy","YOUNG",0.471920070367045
"20",2007-09-30,0.747945205479452,"Land Vehicles","Air Force","YOUNG",0.00470222697272421
"21",2007-09-30,0.747945205479452,"Land Vehicles","DLA","YOUNG",0.0246447663486362
"22",2007-09-30,0.747945205479452,"Land Vehicles","Additional
DoD
Components","YOUNG",0.000145998428555393
"23",2007-09-30,0.747945205479452,"Missile and Space Systems","Army","YOUNG",0.0211651534964643
"24",2007-09-30,0.747945205479452,"Missile and Space Systems","Navy","YOUNG",0.00251093623302279
"25",2007-09-30,0.747945205479452,"Missile and Space Systems","Air Force","YOUNG",0.0041777064765967
"26",2007-09-30,0.747945205479452,"Missile and Space Systems","DLA","YOUNG",0.000188678751823998
"27",2007-09-30,0.747945205479452,"Missile and Space Systems","MDA","YOUNG",0.00112227522729824
"28",2007-09-30,0.747945205479452,"Other Products","Army","YOUNG",0.382251218498148
"29",2007-09-30,0.747945205479452,"Other Products","Navy","YOUNG",0.0283489996183635
"30",2007-09-30,0.747945205479452,"Other Products","Air Force","YOUNG",0.00622198095184645
"31",2007-09-30,0.747945205479452,"Other Products","DLA","YOUNG",0.407907305791896
"32",2007-09-30,0.747945205479452,"Other Products","Additional
DoD
Components","YOUNG",0.00209255696486699
"33",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Army","YOUNG",0.133341122808396
"34",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Navy","YOUNG",0.111699998260186
"35",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Air Force","YOUNG",0.0701996212257268
"36",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","DLA","YOUNG",0.0037769046694354
"37",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Military
Health","YOUNG",3.6641598383657e-05
"38",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Additional
DoD
Components","YOUNG",0.0396987405993939
"39",2007-09-30,0.747945205479452,"Other Services","Army","YOUNG",0.0386280316646088
