"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Vehicle.sum","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"1",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"BPA","Army","YOUNG",2.49457700650759e-05,NA
"2",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"BPA","Army","YOUNG",1.08777640588169e-05,NA
"3",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"BPA","Army","YOUNG",1.03524945770065e-05,1.53920095669665e-05
"4",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"BPA","Army","YOUNG",2.74410045464386e-06,7.99145303015577e-06
"5",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"BPA","Army","YOUNG",5.88560737527115e-05,2.39842229281206e-05
"6",2009-03-01,2009-03-31,"Q2",2009-04-26,2.41643835616438,"BPA","Army","YOUNG",0,2.05333914024518e-05
"7",2008-11-01,2008-12-31,"Q1",2009-04-26,2.08767123287671,"BPA","Army","YOUNG",0.000936276012123836,0.000331710695292183
"8",2009-04-01,2009-06-30,"Q3",2009-04-26,2.5013698630137,"BPA","Army","YOUNG",0,0.000312092004041279
"9",2009-06-01,2009-06-30,"Q3",2009-09-30,2.66849315068493,"BPA","Army","YOUNG",-1.6526759038753e-05,0.000306583084361694
"10",2009-10-01,2009-12-31,"Q1",2010-04-18,1,"BPA","Army","CARTER pre-Task
& Delivery Comp.",3.76000855798032e-05,NA
"11",2009-11-01,2009-12-31,"Q1",2010-04-18,1.08493150684932,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.00306052675438597,NA
"12",2010-01-01,2010-03-31,"Q2",2010-04-18,1.25205479452055,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.00880645590500642,0.00396819424832406
"13",2010-02-01,2010-03-31,"Q2",2010-04-18,1.33698630136986,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.0105501571994009,0.00747237995293111
"14",2010-03-01,2010-03-31,"Q2",2010-04-18,1.41369863013699,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.022531869127086,0.0139628274104978
"15",2010-04-01,2010-06-30,"Q3",2010-04-18,1.4986301369863,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.0280086439987163,0.0203635567750678
"16",2010-06-01,2010-06-30,"Q3",2010-09-30,1.66575342465753,"BPA","Army","CARTER pre-Task
& Delivery Comp.",2.72079803166453e-05,0.016855907035373
"17",2010-08-01,2010-09-30,"Q4",2010-09-30,1.83287671232877,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-0.000120067757809157,0.0093052614070746
"18",2010-09-01,2010-09-30,"Q4",2010-09-30,1.91780821917808,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.000110626979032948,5.92240051347882e-06
"19",2010-11-01,2010-12-31,"Q1",2011-09-30,2.08493150684932,"BPA","Army","CARTER pre-Task
& Delivery Comp.",8.59672681493915e-07,-2.8603686982383e-06
"20",2009-08-01,2009-09-30,"Q4",2009-09-30,0.832876712328767,"BPA","Army","CARTER pre-Task
& Delivery Comp.",1.17368153279931e-05,4.10744890141451e-05
"21",2011-01-01,2011-03-31,"Q2",2011-09-30,2.25205479452055,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-0.00015478674989509,-4.73967539618677e-05
"22",2009-12-01,2009-12-31,"Q1",2010-04-18,1.16712328767123,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.00725344891955499,0.00237013299499596
"23",2011-04-01,2011-06-30,"Q3",2011-09-30,2.4986301369863,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0,0.00236622072321996
"24",2010-05-01,2010-06-30,"Q3",2010-09-30,1.58082191780822,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.00018232472186564,0.00247859121380687
"25",2010-07-01,2010-09-30,"Q4",2010-09-30,1.74794520547945,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.000252457584510056,0.000144927435458565
"26",2011-06-01,2011-06-30,"Q3",2011-09-30,2.66575342465753,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.000138361204364247,0.000191047836913314
"27",2009-09-01,2009-09-30,"Q4",2009-09-30,0.917808219178082,"BPA","Army","CARTER pre-Task
& Delivery Comp.",4.06148516995021e-06,0.000131626758014751
"28",2010-10-01,2010-12-31,"Q1",2011-09-30,2,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-0.000340612767519933,-6.60633593285786e-05
"29",2010-12-01,2010-12-31,"Q1",2011-09-30,2.16712328767123,"BPA","Army","CARTER pre-Task
& Delivery Comp.",2.27299622324801e-06,-0.000111426095375578
"30",2011-02-01,2011-03-31,"Q2",2011-09-30,2.33698630136986,"BPA","Army","CARTER pre-Task
& Delivery Comp.",3.50923206042803e-06,-0.000111610179745419
"31",2011-03-01,2011-03-31,"Q2",2011-09-30,2.41369863013699,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.00135216325010491,0.000452648492796195
"32",2011-05-01,2011-06-30,"Q3",2011-09-30,2.58082191780822,"BPA","Army","CARTER pre-Task
& Delivery Comp.",3.66764582459085e-05,0.000464116313470415
"33",2011-12-01,2011-12-31,"Q1",2012-09-30,3.16712328767123,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.000174938636597673,0.000521259448316164
"34",2012-02-01,2012-03-31,"Q2",2012-09-30,3.33698630136986,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-0.000334611574503141,-4.09988265531865e-05
"35",2011-07-01,2011-09-30,"Q4",2011-09-30,2.74794520547945,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-1.88810008392782e-05,-5.95179795815821e-05
"36",2012-03-01,2012-03-31,"Q2",2012-09-30,3.41643835616438,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.00146961658943466,0.000372041338030748
"37",2012-04-01,2012-06-30,"Q3",2012-09-30,3.5013698630137,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-8.2354031510658e-06,0.000480833395148106
"38",2011-09-01,2011-09-30,"Q4",2011-09-30,2.91780821917808,"BPA","Army","CARTER pre-Task
& Delivery Comp.",7.30371380612673e-05,0.000511472774781621
"39",2012-05-01,2012-06-30,"Q3",2012-09-30,3.58356164383562,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-1.33868808567604e-06,2.11543489415085e-05
"40",2012-06-01,2012-06-30,"Q3",2012-09-30,3.66849315068493,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-2.37874575223973e-07,2.38201918001224e-05
"41",2012-08-01,2012-09-30,"Q4",2012-09-30,3.83561643835616,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-2.80217279373906e-05,-9.86609686609687e-06
"42",2011-11-01,2011-12-31,"Q1",2012-09-30,3.08493150684932,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0,-9.41986750420485e-06
"43",2012-10-01,2012-12-31,"Q1",2013-09-30,4.0027397260274,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-0.000145667705900274,-5.78964779458883e-05
"44",2011-08-01,2011-09-30,"Q4",2011-09-30,2.83287671232877,"BPA","Army","CARTER pre-Task
& Delivery Comp.",2.66680654637012e-08,-4.85470126116035e-05
"45",2012-12-01,2012-12-31,"Q1",2013-09-30,4.16986301369863,"BPA","Army","CARTER pre-Task
& Delivery Comp.",1.82796790900782e-05,-4.24537862482441e-05
"46",2013-02-01,2013-03-31,"Q2",2013-09-30,4.33972602739726,"BPA","Army","CARTER pre-Task
& Delivery Comp.",3.06976942215903e-05,1.63346804590441e-05
"47",2012-11-01,2012-12-31,"Q1",2013-09-30,4.08767123287671,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-1.84776583731086e-05,1.01665716461867e-05
"48",2011-10-01,2011-12-31,"Q1",2012-09-30,3,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0,4.07334528282726e-06
"49",2012-01-01,2012-03-31,"Q2",2012-09-30,3.25205479452055,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-1.18953351869015e-05,-1.012433118667e-05
"50",2013-05-01,2013-06-30,"Q3",2013-09-30,4.58356164383562,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0,-3.96511172896715e-06
"51",2013-06-01,2013-06-30,"Q3",2013-09-30,4.66849315068493,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0,-3.96511172896715e-06
"52",2012-07-01,2012-09-30,"Q4",2012-09-30,3.75068493150685,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0,0
"53",2012-09-01,2012-09-30,"Q4",2012-09-30,3.92054794520548,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0,0
"54",2013-01-01,2013-03-31,"Q2",2013-09-30,4.25479452054795,"BPA","Army","CARTER pre-Task
& Delivery Comp.",-6.61115060424495e-05,-2.20371686808165e-05
"55",2013-03-01,2013-03-31,"Q2",2013-09-30,4.41643835616438,"BPA","Army","CARTER pre-Task
& Delivery Comp.",0.00180386564435869,0.000579251379438746
